Table 1
Dates,Camp # '25,Arena Name,Camp Cost 25,City / Town / State,Camp Description,Times,Ages,
7/21/2025 - 7/25/2025,80-25,McDonald Memorial Center,$550.00 ,"Eagle River, AK",Total Skills Development ,9:00am - 11:50pm,7 - 17 yrs,
7/21/2025 - 7/25/2025,81-25,Union Arena,$670.00 ,Woodstock VT,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
7/21/2025 - 7/25/2025,82-25,Union Arena,$525.00 ,Woodstock VT,Total Skills Development,9:00am - 11:50pm,7 - 15 yrs,
7/21/2025 - 7/25/2025,83-25,Cairns Arena,$675.00 ,"Burlington, VT",Total Skills Development,9:00am - 3:40pm,7 - 15 yrs,Sold Out
7/21/2025 - 7/25/2025,84-25,Cairns Arena,$525.00 ,"Burlington, VT",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,
7/21/2025 - 7/25/2025,143-25,Hyannis Community Center,$695.00 ,"Hyannis, MA",Total Skills Development Full day,9:00am - 2:50pm,10 - 15 yrs,
7/21/2025 - 7/25/2025,144-25,Hyannis Community Center,$550.00 ,"Hyannis, MA",Total Skills Development 1/2 day,9:00am - 11.50am,7 - 15 yrs,
7/21/2025 - 7/25/2025,145-25,Hyannis Community Center,$350.00 ,"Hyannis, MA",Total Skills Development,1:00pm - 2:50pm,7 - 15 yrs,
7/21/2025 - 7/24/2025,149-25,Boss Ice Arena (M-TH),$575.00 ,Kingston RI,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,
7/21/2025 - 7/24/2025,150-25,Boss Ice Arena (M-TH),$425.00 ,Kingston RI,Skating/Edge/Stickhandling 1/2 day,9:00am - 11:50am,7 - 15 yrs,
,,,,,,,,
,,,,,,,,
7/28/2025 8/1/2025,85-25,Valley Sports Ice Arena Rink 1 ,$650.00 ,"Concord, MA",Skating/Edge/Stickhandling,8:45am - 3:10pm,10 - 15 yrs,
7/28/2025 8/1/2025,86-25,Valley Sports Ice Arena Rink 1 ,$475.00 ,"Concord, MA",Skating/Edge/Stickhandling 1/2 day am,8:45am - 11:35pm,10 - 15 yrs,
7/28/2025 8/1/2025,87-25,Valley Sports Ice Arena Rink 2,$650.00 ,"Concord, MA",Total Skills Development,9:00am - 3:30pm,5 - 10 yrs,
7/28/2025 8/1/2025,88-25,Valley Sports Ice Arena Rink 2,$475.00 ,"Concord, MA",Total Skills Development 1/2 day,9:00am - 11.50am,5 - 10 yrs,
7/28/2025 8/1/2025,89-25,Hatfield Ice,$695.00 ,Hatfield PA,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,90-25,Hatfield Ice,$575.00 ,Hatfield PA,Total Skills Development,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,91-25,Raymond Bourque Arena,$475.00 ,Beverly MA,Skating/Edge/Stickhandling 1/2 day,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,146-25,Raymond Bourque Arena,,Beverly MA,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,92-25,Valley Forum Haverhill MA,$650.00 ,Haverhill MA,Skating/Edge/Stickhandling,9:00am - 3:50pm,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,93-25,Valley Forum Haverhill MA,$475.00 ,Haverhill MA,Skating/Edge/Stickhandling,9:00am- 11:50am,7 - 15 yrs,Sold Out
7/28/2025 - 7/31/2025,94-25,Pilgrim Skating Arena,$575.00 ,Hingham MA,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
7/28/2025 - 7/31/2025,95-25,Pilgrim Skating Arena,$475.00 ,Hingham MA,Total Skills Development,9:00am- 11:50am,7 - 15 yrs,
7/28/2025 - 7/31/2025,96-25,Boss Ice Arena (M-TH),$575.00 ,Kingston RI,Skating/Edge/Stickhandling,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/28/2025 - 7/31/2025,97-25,Boss Ice Arena (M-TH),$425.00 ,Kingston RI,Skating/Edge/Stickhandling 1/2 day,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,98-25,Chase Arena,$650.00 ,"Natick, MA",Total Skills Development Full day,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/28/2025 8/1/2025,99-25,Chase Arena,$475.00 ,"Natick, MA",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/28/2025 - 7/31/2025,100-25,Spartan Arena (M-TH),$525.00 ,"Rutland, VT",Total Skills Development Full day,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/28/2025 - 7/31/2025,101-25,Spartan Arena (M-TH),$425.00 ,"Rutland, VT",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,Sold Out
7/29/2025 - 8/1/2025,147-25,Soldotna Regional Sports Complex,$575.00 ,"Soldotna, AK",,9:00am - 3:00pm,7 - 15 yrs,Sold Out
7/29/2025 - 8/1/2025,148-25,Soldotna Regional Sports Complex,$495.00 ,"Soldotna, AK",,9:00am - 11:50am,7 - 15 yrs,Sold Out
,,,,,,,,
,,,,,,,,
8/4/2025 - 8/8/2025,103-25,Valley Sports Ice Arena Rink 2,$650.00 ,"Concord, MA",Total Skills Development,9:00am - 3:30pm,7 - 15 yrs,
8/4/2025 - 8/8/2025,104-25,Valley Sports Ice Arena Rink 2,$475.00 ,"Concord, MA",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,
8/4/2024 - 8/8/2025,105-25,New England Sports Center,,"Marlboro, MA",Skating/Edge/Stickhandling,9:00am - 3:00pm,,
8/4/2024 - 8/8/2025,106-25,New England Sports Center,,"Marlboro, MA",Skating/Edge/Stickhandling,9:00am - 11:50am,,
8/4/2025 - 8/8/2025,107-25,O'Brien Arena,$450.00 ,"Woburn, MA",Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
8/4/2025 - 8/8/2025,108-25,Ed Burns Arena,$450.00 ,"Arlington, MA",Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
8/4/2025 - 8/7/2025,109-25,Roche Arena (M-TH),$450.00 ,"West Roxbury, MA",Total Skills Development 1/2 day,9:00am - 11:50am,7 - 15 yrs,
8/4/2025 - 8/7/2025,110-25,Steel Ice Center (M-Th),$595.00 ,Bethlehhem PA,Total Skills Development,9:00am - 3:00pm,,
8/4/2025 - 8/7/2025,111-25,Steel Ice Center (M-Th),$475.00 ,Bethlehhem PA,Total Skills Development,9:00am - 11:50am,7 - 15 yrs,
8/4/2025 - 8/7/2025,112-25,Tri-Town Arena,$625.00 ,Hookset NH,Total Skills Development,9:00am - 3:00pm,7 - 15 yrs,
8/4/2025 - 8/7/2025,113-25,Tri-Town Arena,$475.00 ,Hookset NH,Total Skills Development,9:00am - 11:50am,8 - 15 yrs,
